,precision,recall,f1-score,support
Normal,0.9947656295947774,0.9947363778045697,0.994751003484628,68014.0
Blackhole,0.6463326071169209,0.8855721393034826,0.7472712006717045,2010.0
Grayhole,0.7753206545776206,0.6005481329222336,0.6768339768339768,2919.0
Flooding,0.8992481203007519,0.9033232628398792,0.9012810851544838,662.0
TDMA,0.975825946817083,0.9118975903614458,0.9427792915531336,1328.0
accuracy,0.9741769313920435,0.9741769313920435,0.9741769313920435,0.9741769313920435
macro avg,0.8582985916814307,0.8592155006463221,0.8525833115395853,74933.0
weighted avg,0.9756913265889322,0.9741769313920435,0.9739813863089266,74933.0
