,precision,recall,f1-score,support
Normal,0.9985862185764989,0.9969565089540389,0.9977706982938117,68014.0
Blackhole,0.9910179640718563,0.9880597014925373,0.9895366218236173,2010.0
Grayhole,0.9783637592968222,0.9914354230900994,0.9848562191594351,2919.0
Flooding,0.926241134751773,0.986404833836858,0.9553767373811266,662.0
TDMA,0.9141599413059428,0.9382530120481928,0.926049795615013,1328.0
accuracy,0.9953691964821908,0.9953691964821908,0.9953691964821908,0.9953691964821908
macro avg,0.9616738036005786,0.9802218958843453,0.9707180144546008,74933.0
weighted avg,0.9954600646536749,0.9953691964821908,0.9954011412337715,74933.0
