class_name,support,precision,recall,f1,fpr,fnr
Normal,68014,0.9947656295947774,0.9947363778045697,0.9947510034846279,0.051452522040757336,0.005263622195430352
Blackhole,2010,0.6463326071169209,0.8855721393034826,0.7472712006717044,0.013356554173580351,0.11442786069651742
Grayhole,2919,0.7753206545776206,0.6005481329222336,0.6768339768339767,0.007054183908684422,0.39945186707776636
Flooding,662,0.8992481203007519,0.9033232628398792,0.9012810851544838,0.0009021017624644881,0.09667673716012085
TDMA,1328,0.975825946817083,0.9118975903614458,0.9427792915531334,0.0004075810067250866,0.08810240963855422
