model,macro_f1,weighted_f1,normal_recall,normal_false_alarm_rate,attack_macro_recall,attack_macro_f1,macro_precision_from_report,macro_recall_from_report
Logistic Regression,0.8525833115395853,0.9739813863089266,0.9947363778045697,0.005263622195430306,0.8253352813567603,0.8170413885533246,0.8582985916814307,0.8592155006463221
Decision Tree,0.9164094030829351,0.9747300848925119,0.9731672890875408,0.0268327109124592,0.9571884354848179,0.8990693795713374,0.8923710076763317,0.9603842062053625
Random Forest,0.9778146101232107,0.9967079227623986,0.9987796630105567,0.0012203369894433491,0.9723305722220965,0.9726394115251328,0.9788131205441518,0.9776203903797885
LightGBM,0.9707180144546008,0.9954011412337715,0.9969565089540389,0.003043491045961133,0.9760382426169218,0.963954843494798,0.9616738036005786,0.9802218958843453
CatBoost,0.9538720823529353,0.9909545725601066,0.991825212456259,0.008174787543741013,0.9796264857638898,0.9435112488567285,0.928198338114057,0.9820662311023636
XGBoost,0.9783245473032686,0.9968330896977705,0.9990443144058576,0.0009556855941423859,0.9684993428761223,0.9732712322308071,0.9826056647054175,0.9746083371820694
