class_name,support,precision,recall,f1,fpr,fnr
Normal,68014,0.998031814109249,0.9990443144058576,0.9985378075931137,0.019366960543431132,0.0009556855941423825
Blackhole,2010,0.9900744416873449,0.9925373134328358,0.991304347826087,0.00027426189268132137,0.007462686567164179
Grayhole,2919,0.986981843096951,0.986981843096951,0.986981843096951,0.0005276751742716694,0.01301815690304899
Flooding,662,0.9411764705882353,0.9667673716012085,0.9538002980625931,0.0005385682163967094,0.03323262839879154
TDMA,1328,0.9967637540453075,0.927710843373494,0.9609984399375975,5.4344134230011546e-05,0.07228915662650602
