class_name,support,precision,recall,f1,fpr,fnr
Normal,68014,0.9945482866043613,0.9951039491869321,0.99482604030397,0.05362046538517127,0.004896050813067898
Blackhole,2010,0.6565047855370436,0.9213930348258706,0.7667149658455807,0.013287988700410022,0.07860696517412935
Grayhole,2919,0.8136986301369863,0.6104830421377184,0.6975924838520259,0.0056655650290221345,0.3895169578622816
Flooding,662,0.9029733959311425,0.8716012084592145,0.887009992313605,0.0008347807354148995,0.1283987915407855
TDMA,1328,0.9675060926076361,0.8968373493975904,0.9308323563892146,0.0005434413423001155,0.10316265060240964
