,precision,recall,f1-score,support
Normal,0.9982065944404428,0.9983973887728997,0.9983019824905727,68014.0
Blackhole,0.980635551142006,0.9825870646766169,0.981610337972167,2010.0
Grayhole,0.9768392370572208,0.9825282631038027,0.9796754910333049,2919.0
Flooding,0.922425952045134,0.9879154078549849,0.9540481400437637,662.0
TDMA,0.9847634322373697,0.9246987951807228,0.9537864077669903,1328.0
accuracy,0.995956387706351,0.995956387706351,0.995956387706351,0.995956387706351
macro avg,0.9725741533844345,0.9752253839178054,0.9734844718613596,74933.0
weighted avg,0.9959951733322144,0.995956387706351,0.9959487648030589,74933.0
