,precision,recall,f1-score,support
Normal,0.9987022198077474,0.9730496662451849,0.9857090727653205,68014.0
Blackhole,0.9588974854932302,0.9865671641791045,0.9725355566454145,2010.0
Grayhole,0.6051511281396339,0.9739636861939021,0.7464881186818958,2919.0
Flooding,0.9068493150684932,1.0,0.9511494252873564,662.0
TDMA,0.9854700854700855,0.8682228915662651,0.923138510808647,1328.0
accuracy,0.9718281664954026,0.9718281664954026,0.9718281664954026,0.9718281664954026
macro avg,0.8910140467958382,0.9603606816368913,0.9158041368377269,74933.0
weighted avg,0.9812578088020596,0.9718281664954026,0.9746226765810039,74933.0
