model,macro_f1,weighted_f1,normal_recall,normal_false_alarm_rate,attack_macro_recall,attack_macro_f1,macro_precision_from_report,macro_recall_from_report
Logistic Regression,0.8553951677408792,0.9750418885023207,0.9951039491869321,0.004896050813067876,0.8250786587050986,0.8205374496001065,0.8670462381634338,0.8590837168014651
Decision Tree,0.9158041368377269,0.9746226765810039,0.9730496662451849,0.026950333754815148,0.9571884354848179,0.8983279028558284,0.8910140467958382,0.9603606816368913
Random Forest,0.9734844718613596,0.9959487648030589,0.9983973887728997,0.001602611227100259,0.9694323827040319,0.9672800942040566,0.9725741533844345,0.9752253839178054
LightGBM,0.9658602228630018,0.9946029946509686,0.996486017584615,0.0035139824153850308,0.9735480098884627,0.957947114208094,0.9542621061441835,0.9781356114276931
CatBoost,0.952052983930151,0.9903883842609125,0.9915164524950746,0.008483547504925415,0.9767800813168152,0.9412928141430579,0.926731816085954,0.979727355552467
XGBoost,0.9719648303543409,0.9958485971893997,0.9986032287470227,0.0013967712529773246,0.9630687362382635,0.9653859573973327,0.9741833012662745,0.9701756347400154
