class_name,support,precision,recall,f1,fpr,fnr
Normal,68014,0.9982065944404428,0.9983973887728997,0.9983019824905727,0.017632605867899987,0.0016026112271003029
Blackhole,2010,0.980635551142006,0.9825870646766169,0.981610337972167,0.0005348106907285767,0.017412935323383085
Grayhole,2919,0.9768392370572208,0.9825282631038027,0.9796754910333049,0.0009442608381703558,0.017471736896197326
Flooding,662,0.922425952045134,0.9879154078549849,0.9540481400437637,0.0007405312975454753,0.012084592145015106
TDMA,1328,0.9847634322373697,0.9246987951807228,0.9537864077669903,0.00025813463759255485,0.07530120481927711
