,precision,recall,f1-score,support
Normal,0.997957624379206,0.9986032287470227,0.9982803221823741,68014.0
Blackhole,0.9777777777777777,0.9850746268656716,0.9814126394052045,2010.0
Grayhole,0.9801029159519725,0.9787598492634464,0.9794309221803222,2919.0
Flooding,0.9326500732064422,0.9622356495468278,0.9472118959107807,662.0
TDMA,0.9824281150159745,0.9262048192771084,0.9534883720930233,1328.0
accuracy,0.9958629709206891,0.9958629709206891,0.9958629709206891,0.9958629709206891
macro avg,0.9741833012662745,0.9701756347400154,0.9719648303543409,74933.0
weighted avg,0.9958686092206149,0.9958629709206891,0.9958485971893997,74933.0
