,precision,recall,f1-score,support
Normal,0.9986967789707516,0.9915164524950746,0.9950936630785235,68014.0
Blackhole,0.9712475633528265,0.9915422885572139,0.9812900049236829,2010.0
Grayhole,0.9001256281407035,0.9818430969510106,0.9392102244797641,2919.0
Flooding,0.9006802721088435,1.0,0.9477451682176091,662.0
TDMA,0.8629088378566457,0.9337349397590361,0.8969258589511754,1328.0
accuracy,0.990191237505505,0.990191237505505,0.990191237505505,0.990191237505505
macro avg,0.926731816085954,0.979727355552467,0.952052983930151,74933.0
weighted avg,0.9908482285856469,0.990191237505505,0.9903883842609125,74933.0
