model,macro_f1,weighted_f1,normal_recall,normal_false_alarm_rate,attack_macro_recall,attack_macro_f1,macro_precision_from_report,macro_recall_from_report
Logistic Regression,0.8520768308048392,0.9735607810261542,0.9945599435410357,0.005440056458964282,0.8238612043277918,0.8164852949230905,0.8582616424399024,0.8580009521704405
Decision Tree,0.9164094030829351,0.9747300848925119,0.9731672890875408,0.0268327109124592,0.9571884354848179,0.8990693795713374,0.8923710076763317,0.9603842062053625
Random Forest,0.977652556462469,0.9966808687541867,0.9987943658658511,0.0012056341341488697,0.9721123672551533,0.9724386735962682,0.9786487572405079,0.9774487669772928
LightGBM,0.9707180144546008,0.9954011412337715,0.9969565089540389,0.003043491045961133,0.9760382426169218,0.963954843494798,0.9616738036005786,0.9802218958843453
CatBoost,0.9524427969425622,0.9907873412835018,0.9916928867586086,0.00830711324139144,0.9788462941594729,0.941743155548292,0.9261638723737281,0.9814156126793
XGBoost,0.9779926739573417,0.9967810582915491,0.9990002058399742,0.0009997941600258242,0.9688040308761201,0.9728582409712048,0.9817286730164115,0.9748432658688909
