,precision,recall,f1-score,support
Normal,0.994756841144069,0.9930602523009968,0.9939078227088116,68014.0
Blackhole,0.6275597269624573,0.7318407960199005,0.6757005052824988,2010.0
Grayhole,0.667375132837407,0.645426515930113,0.6562173458725182,2919.0
Flooding,0.9029605263157895,0.8293051359516617,0.8645669291338582,662.0
TDMA,0.9626984126984127,0.9134036144578314,0.9374034003091191,1328.0
accuracy,0.9696528899149908,0.9696528899149908,0.9696528899149908,0.9696528899149908
macro avg,0.8310701279916272,0.8226072629321006,0.8255592006613612,74933.0
weighted avg,0.9707749351821519,0.9696528899149908,0.9700735073283324,74933.0
