,precision,recall,f1-score,support
Normal,0.9987311944897589,0.9721527920722204,0.9852627814451117,68014.0
Blackhole,0.958614051973051,0.991044776119403,0.974559686888454,2010.0
Grayhole,0.6064419795221843,0.9739636861939021,0.7474694360457473,2919.0
Flooding,0.9068493150684932,1.0,0.9511494252873564,662.0
TDMA,0.9367396593673966,0.8697289156626506,0.9019914096056229,1328.0
accuracy,0.971160903740675,0.971160903740675,0.971160903740675,0.971160903740675
macro avg,0.8814752400841768,0.9613780340096353,0.9120865478544584,74933.0
weighted avg,0.9804631652133611,0.971160903740675,0.973935336676333,74933.0
